7,239,477,0
7,240,480,0
7,242,476,0
7,242,479,0
7,245,361,0
7,246,144,0
7,246,361,0
7,247,142,0
7,248,136,0
7,248,141,0
7,253,157,0
7,254,154,0
7,254,158,0
7,254,159,0
7,254,354,0
7,254,450,0
7,255,156,0
7,255,160,0
7,255,165,0
7,255,354,0
7,256,162,0
7,256,203,0
7,257,198,0
7,257,334,0
7,257,353,0
7,259,80,0
7,260,199,0
7,261,83,0
7,261,199,0
7,262,82,0
7,265,379,0
7,266,72,0
7,266,378,0
7,266,381,0
7,267,70,0
7,267,72,0
7,267,75,0
7,267,409,0
7,268,74,0
7,269,80,0
7,270,70,0
7,270,78,0
7,271,79,0
7,276,502,0
7,278,498,0
7,278,502,0
7,279,298,0
7,279,503,0
7,280,205,0
7,282,299,0
7,282,300,0
7,283,449,0
7,284,296,0
7,284,461,0
7,286,299,0
7,287,34,0
7,288,37,0
7,288,39,0
7,289,28,0
7,290,10,0
7,291,9,0
7,291,27,0
7,291,36,0
7,292,29,0
7,292,30,0
7,292,39,0
7,294,28,0
7,294,449,0
7,294,450,0
7,296,448,0
7,298,442,0
7,299,441,0
7,299,444,0
7,307,312,0
7,307,465,0
7,308,312,0
7,308,409,0
7,309,459,0
7,310,456,0
7,310,458,0
7,311,456,0
7,312,458,0
7,315,476,0
7,318,476,0
7,324,258,0
7,324,259,0
7,326,261,0
7,351,333,0
7,353,338,0
7,356,310,0
7,357,308,0
7,358,311,0
7,363,195,0
7,364,223,0
7,367,221,0
7,370,6,0
7,372,204,0
7,373,207,0
7,373,396,0
7,374,10,0
7,374,204,0
7,374,398,0
7,375,397,0
7,375,398,0
7,377,397,0
7,378,180,0
7,380,391,0
7,382,273,0
7,382,392,0
7,384,179,0
7,386,179,0
7,403,322,0
7,403,323,0
7,405,333,0
7,406,9,0
7,407,6,0
7,407,10,0
7,409,112,0
7,410,224,0
7,411,130,0
7,411,154,0
MapID,X,Y,Z
7,412,129,0
7,412,134,0
7,412,135,0
7,412,156,0
7,31,111,0
7,413,112,0
7,413,113,0
7,414,134,0
7,415,508,0
7,424,224,0
7,424,227,0
7,425,306,0
7,426,276,0
7,427,278,0
7,427,307,0
7,429,275,0
7,430,278,0
7,431,273,0
7,436,1,0
7,437,2,0
7,437,75,0
7,439,41,0
7,439,78,0
7,440,78,0
7,441,367,0
7,442,39,0
7,444,33,0
7,444,367,0
7,445,36,0
7,445,382,0
7,447,278,0
7,448,39,0
7,448,383,0
7,450,41,0
7,450,106,0
7,450,175,0
7,451,107,0
7,451,109,0
